section,planning,item,original_value,corrected_value,unit,multiplier,basis
benchmark,development,M01_S03_rep0028_four_chain_log_q_tail_ESS,,892.6263,draws,,three-sweep four-profile development comparison with 1500 retained draws per chain
benchmark,development,M01_S03_rep0028_four_chain_log_q_MCSE_over_SD,,0.0497085,ratio,,three-sweep four-profile development comparison
benchmark,development,M01_S03_hardcase_rootwise2_ASIS2_min_log_q_bulk_ESS,,290.3288,draws,,targeted 15-fit transition comparison on S03 replications 13 55 and 94
benchmark,development,M01_S03_hardcase_rootwise2_ASIS2_min_observed_loss_bulk_ESS,,422.2386,draws,,targeted 15-fit transition comparison on S03 replications 13 55 and 94
benchmark,development,M01_S03_hardcase_rootwise2_ASIS2_max_log_q_MCSE_over_SD,,0.058746,ratio,,targeted 15-fit transition comparison on S03 replications 13 55 and 94
benchmark,development,M01_S03_hardcase_rootwise2_ASIS2_elapsed_sum,,7065.648,seconds,,three one-chain jobs under selected rootwise2_ASIS2 transition
benchmark,development,M01_S03_hardcase_rootwise2_ASIS2_peak_RSS,,706904,KiB,,maximum sidecar RSS across selected rootwise2_ASIS2 targeted jobs
benchmark,development,M01_S03_hardcase_rootwise2_ASIS2_zero_repairs,,0,repairs,,selected targeted jobs reported no numerical repairs
benchmark,development,M03_S03_REX4_min_bulk_ESS,,1537.859,draws,,minimum across replications 13 90 117 and 185 under unchanged four-chain gates
benchmark,development,M03_S03_REX4_max_Rhat,,1.003904,ratio,,maximum across the hard and guard cases
benchmark,development,M03_S03_REX4_min_swap_acceptance,,0.342,ratio,,minimum adjacent-edge acceptance across the hard and guard fits
benchmark,development,M03_S03_REX4_min_round_trips,,626,round_trips,,minimum total hot-to-cold round trips across the hard and guard fits
benchmark,development,M03_S03_REX4_max_fit_elapsed,,121.191,seconds,,maximum four-chain elapsed total across the hard and guard fits
benchmark,development,M08_S03_R4000_min_bulk_ESS,,385.5624,draws,,minimum across replications 13 55 and 94 under unchanged one-chain gates
benchmark,development,M08_S03_R4000_max_MCSE_over_SD,,0.05216983,ratio,,maximum across replications 13 55 and 94
benchmark,development,M08_S03_R4000_max_fit_elapsed,,417.560,seconds,,maximum one-chain elapsed across replications 13 55 and 94
benchmark,failed_run,maximum_sampled_worker_RSS,,1496068,KiB,,third launch wave-1 worker peak before deferred local-only RDS validation
benchmark,failed_run,declared_worker_RSS_ceiling,,1572864,KiB,,1.5 GiB process-group ceiling
benchmark,development,M10_S05_joint_ESS_selected_elapsed_sum,,16992.668,seconds,,five exact zero-repair jobs under joint_ess1_x1
benchmark,development,M10_S05_joint_ESS_selected_peak_RSS,,652676,KiB,,maximum sampled process RSS under joint_ess1_x1
benchmark,development,M11_S05_joint_ESS_selected_elapsed_sum,,54423.127,seconds,,six exact zero-repair jobs under joint_ess1_x2
benchmark,development,M11_S05_joint_ESS_selected_peak_RSS,,914492,KiB,,maximum sampled process RSS under joint_ess1_x2
projection,affected_wave,M10_M11_selected_CPU_hours,,318.654,CPU hours,,92 M10 and 92 M11 chain executions projected from authenticated selected-candidate elapsed totals
projection,affected_wave,M10_M11_selected_wall_hours_8_workers,,39.832,hours,,theoretical lower bound before all other methods and orchestration overhead
projection,initial,safeguarded_upper_CPU_hours_optimistic,947,3542.9,CPU hours,3.741183,prior safeguarded envelope scaled by the exact initial primitive-replica-iteration ratio
projection,initial,safeguarded_upper_CPU_hours_central,1458,5454.5,CPU hours,3.741084,prior safeguarded envelope scaled by the exact initial primitive-replica-iteration ratio
projection,initial,safeguarded_upper_CPU_hours_conservative,2551,9543.6,CPU hours,3.741121,prior safeguarded envelope scaled by the exact initial primitive-replica-iteration ratio
projection,central,safeguarded_upper_CPU_hours_optimistic,1731,6500.4,CPU hours,3.755286,prior safeguarded envelope scaled by the exact central primitive-replica-iteration ratio
projection,central,safeguarded_upper_CPU_hours_central,2663,10000.3,CPU hours,3.755276,prior safeguarded envelope scaled by the exact central primitive-replica-iteration ratio
projection,central,safeguarded_upper_CPU_hours_conservative,4660,17499.6,CPU hours,3.755279,prior safeguarded envelope scaled by the exact central primitive-replica-iteration ratio
projection,maximum,safeguarded_upper_CPU_hours_optimistic,2514,9453.9,CPU hours,3.760501,prior safeguarded envelope scaled by the exact maximum primitive-replica-iteration ratio
projection,maximum,safeguarded_upper_CPU_hours_central,3868,14545.9,CPU hours,3.760574,prior safeguarded envelope scaled by the exact maximum primitive-replica-iteration ratio
projection,maximum,safeguarded_upper_CPU_hours_conservative,6768,25451.4,CPU hours,3.760550,prior safeguarded envelope scaled by the exact maximum primitive-replica-iteration ratio
projection,initial,safeguarded_upper_wall_hours_32_workers,53,198.4,hours,3.743396,prior safeguarded wall envelope scaled by the exact initial primitive-replica-iteration ratio
projection,central,safeguarded_upper_wall_hours_32_workers,96,360.5,hours,3.755208,prior safeguarded wall envelope scaled by the exact central primitive-replica-iteration ratio
projection,maximum,safeguarded_upper_wall_hours_32_workers,140,526.5,hours,3.760714,prior safeguarded wall envelope scaled by the exact maximum primitive-replica-iteration ratio
